연번,학교급,시군명,읍면동,설립별,학교명,신설휴원,학급수,학생수,우편번호,주소,연락처,팩스번호,비고
57,유치원,천안,차암동,공립,천안차암초등학교병설유치원,,3,49,31085,충남 천안시 서북구 스마일시티1로 50,041-413-3502,041-413-3504,
58,유치원,천안,불당동,공립,천안불무초등학교병설유치원,,5,71,31156,충남 천안시 서북구 불당23로 29,041-565-9975,041-565-9976,
59,유치원,천안,백석동,공립,천안한들초등학교병설유치원,,4,35,31096,충남 천안시 서북구 한들2로 33,041-551-5804,041-551-5806,
60,유치원,천안,백석동,공립,천안백석초등학교병설유치원,,2,33,31158,충남 천안시 서북구 백석3로 98,041-622-8486,041-622-8488,
61,유치원,천안,신부동,공립,천안희망초등학교병설유치원,,3,36,31115,충남 천안시 동남구 단대로 21-7,041-622-6427,041-622-6433,
62,유치원,천안,불당동,공립,천안호수초등학교병설유치원,,4,51,31167,충남 천안시 서북구 공원로 140,041-533-5362,041-533-5373,
63,유치원,천안,성성동,공립,천안가람초등학교병설유치원,,4,53,31078,충남 천안시 서북구 성성6로 47-11,041-415-2473,041-415-2490,
64,유치원,천안,청당동,공립,천안능수초등학교병설유치원,,4,43,31212,충남 천안시 동남구 청당용평로 112,041-414-2585,041-414-2589,
65,유치원,천안,오룡동,사립,복자유치원,,4,68,31131,충남 천안시 동남구 옛시청길 32,041-567-9666,041-568-9666,
66,유치원,천안,성정동,사립,색동유치원,,2,25,31141,충남 천안시 서북구 성정6길 8-7,041-575-4131,041-576-4131,
67,유치원,천안,성정동,사립,대한유치원,,9,189,31133,충남 천안시 서북구 동서대로110-24,041-575-3990,041-575-3992,
68,유치원,천안,성정동,사립,중앙유치원,,4,65,31137,충남 천안시 서북구 서부14길 55,041-575-9998,041-575-9997,
69,유치원,천안,성정동,사립,미래클유치원,,6,94,31133,충남 천안시 서북구 쌍용대로 301 ,041-577-6622,041-577-6623,
70,유치원,천안,봉명동,사립,자연유치원,,0,0,31150,충남 천안시 동남구 양지4길 6-7,041-572-5306,041-572-5307,폐원(예정)
71,유치원,천안,쌍용동,사립,예랑유치원,,3,32,31166,충남 천안시 서북구 쌍용11길 33,041-571-2556,041-571-2557,
72,유치원,천안,쌍용동,사립,젤라유치원,,6,92,31155,충남 천안시 서북구 미라3길 5,041-571-0033,041-571-0034,
73,유치원,천안,안서동,사립,호서대학교부속유치원,,6,98,31066,충남 천안시 동남구 각원사길 69,041-560-8470,041-561-0366,
74,유치원,천안,신부동,사립,천안원광유치원,,2,22,31120,충남 천안시 동남구 천안천9길 58,041-551-4974,041-563-7034,
75,유치원,천안,성정동,사립,새미기픈믈유치원,,4,56,31137,충남 천안시 서북구 서부13길 39,041-572-0642,041-576-9016,
76,유치원,천안,두정동,사립,늘푸른유치원,,8,198,31099,충남 천안시 서북구 늘푸른6길 41,041-554-9413,041-556-9413,
77,유치원,천안,두정동,사립,한사랑유치원,,3,38,31102,충남 천안시 서북구 두정중5길 22,041-555-5274,041-555-5275,
78,유치원,천안,신방동,사립,더그림유치원(구 한라유치원),,7,118,31185,충남 천안시 동남구 서부대로 226-12,041-578-2500,041-578-2502,
79,유치원,천안,쌍용동,사립,늘사랑유치원,,9,165,31161,충남 천안시 서북구 봉서산샛길 67,041-578-3111,041-578-3112,
80,유치원,천안,백석동,사립,미래유치원,,11,212,31095,충남 천안시 서북구 백석로 17-17,041-551-3233,041-551-3234,
81,유치원,천안,신방동,사립,또바트유치원(구 예스유치원),,0,0,31177,충남 천안시 동남구 신촌4로 16,041-572-0272,041-571-0272,폐원(예정)
82,유치원,천안,쌍용동,사립,푸른별유치원,,6,88,31172,충남 천안시 서북구 쌍용14길 66,041-578-1777,041-578-1778,
83,유치원,천안,쌍용동,사립,좋은유치원,,3,28,31172,충남 천안시 서북구 쌍용18길 18,041-578-4422,041-577-1700,
84,유치원,천안,쌍용동,사립,엔젤유치원,,5,70,31171,충남 천안시 서북구 월봉7길 77,041-579-6755,041-579-6754,
85,유치원,천안,신부동,사립,아이캔유치원,,6,98,31117,충남 천안시 동남구 중앙로 281-5,041-558-7942,041-558-7943,
86,유치원,천안,두정동,사립,우리유치원,,14,287,31099,충남 천안시 서북구 부성1길 51-10,041-522-5201,041-522-5210,
87,유치원,천안,쌍용동,사립,유한유치원,,5,78,31179,충남 천안시 서북구 월봉9길 7,041-577-3511,041-576-3511,
88,유치원,천안,봉명동,사립,세중아유치원,,15,274,31150,충남 천안시 동남구 양지2길 22,041-573-6477,041-573-6474,
89,유치원,천안,두정동,사립,행복한리더로유치원,,15,300,31090,충남 천안시 서북구 오성6길 27,041-523-7600,041-523-0019,
90,유치원,천안,구룡동,사립,백향목유치원,,12,254,31206,충남 천안시 동남구 배울1길 16,041-573-5829,041-573-5749,
91,유치원,천안,쌍용동,사립,세화유치원,,7,145,31175,충남 천안시 서북구 충무로 158-23,041-573-6400,041-573-6440,
92,유치원,천안,쌍용동,사립,아이숲유치원,,7,150,31181,충남 천안시 서북구 다가말 2길 26,041-577-7179,041-578-7179,
93,유치원,천안,성환읍,사립,사랑유치원,,3,46,31008,충남 천안시 서북구 성환읍 신방로 336-11,041-581-4757,041-582-4848,
94,유치원,천안,성거읍,사립,동심유치원,,4,90,31046,충남 천안시 서북구 성거읍 소댕이3길 13,041-622-3645,041-622-3646,
95,유치원,천안,성거읍,사립,동화유치원,,4,62,31050,충남 천안시 서북구 성거읍 신월길 42,041-583-5034,041-584-7815,
96,유치원,천안,직산읍,사립,새천안유치원,,3,46,31038,충남 천안시 서북구 직산읍 자은가리1길 68-1,041-585-3600,041-585-3601,
97,유치원,천안,목천읍,사립,은파유치원,,1,4,31246,충남 천안시 동남구 목천읍 운전3길 20,041-557-9596,041-557-0014,
98,유치원,천안,목천읍,사립,하얀유치원,,3,47,31226,충남 천안시 동남구 목천읍 삼성5길 54,041-621-5544,070-4394-8695,
99,유치원,천안,성거읍,사립,아이세상유치원,,0,0,31046,충남 천안시 서북구 성거읍 망향로 528-3,041-562-1193,041-562-1194,폐원(예정)
100,유치원,천안,목천읍,사립,가원유치원,,6,97,31233,충남 천안시 동남구 목천읍 목천안터1길 55,041-562-1004,041-562-2006,
101,유치원,천안,직산읍,사립,도담유치원,,6,106,31030,충남 천안시 서북구 직산읍 양당율금길 4-24,041-585-7179,041-583-7179,
102,유치원,천안,입장면,사립,화랑유치원,,2,9,31055,충남 천안시 서북구 입장면 하장1길10-6,041-583-9286,041-583-9286,
103,유치원,천안,청당동,사립,백석대학교부속유치원,,7,118,31197,충남 천안시 동남구 청수7로 30-15,041-558-1580,041-558-1585,
104,유치원,천안,신방동,사립,세실유치원,,0,0,31205,충남 천안시 동남구 통정6로 46,041-578-8034,041-578-8035,폐원(예정)
105,유치원,천안,신방동,사립,명문유치원,,6,71,31208,충남 천안시 동남구 통정8로 5-23,041-578-8010,041-576-5588,
106,유치원,천안,용곡동,사립,셀라유치원,,10,199,31184,충남 천안시 동남구 용곡2길 43-22,041-574-1000,041-574-3210,
107,유치원,천안,백석동,사립,아이솔유치원,,12,252,31095,충남 천안시 서북구 번영로 306-8,041-523-7770,041-523-9770,
108,유치원,천안,청당동,사립,좋은나무숲유치원,,8,175,31197,충남 천안시 동남구 청수7로 6,041-565-3355,041-565-3080,
109,유치원,천안,백석동,사립,백석유치원,,13,247,31097,충남 천안시 서북구 한들2로 34-42,041-621-8010,041-563-0210,
110,유치원,천안,백석동,사립,해여림유치원,,19,364,31091,충남 천안시 서북구 한들4로 75,041-554-3217,041-554-3218,
111,유치원,천안,불당동,사립,이튼유치원,,19,362,31156,충남 천안시 서북구 불당18로 33,041-567-7111,041-590-0799,
112,유치원,공주,신관동,공립,신관유치원,,6,81,32576,충남 공주시 번영1로 97-9,041-853-9935,041-853-9939,
113,유치원,공주,중동,공립,공주중동초등학교병설유치원,,2,15,32563,충남 공주시 웅진로 146-5,041-850-9606,041-856-4978,
114,유치원,공주,중학동,공립,공주금학초등학교병설유치원,,1,3,32564,충남 공주시 공주고담길 19,041-856-8775,041-854-2052,
115,유치원,공주,태봉동,공립,태봉초등학교병설유치원,휴원,0,0,32600,충남 공주시 원태봉길57(태봉동),041-852-8007,041-855-1561,2023-03-01자 휴원
116,유치원,공주,봉황동,공립,공주봉황초등학교병설유치원,,1,6,32549,충남 공주시 오거리길5,041-854-2203,041-856-9360,
117,유치원,공주,신기동,공립,효포초등학교병설유치원,휴원,0,0,32596,충남 공주시 전진배길313(신기동),041-852-5371,041-854-5372,2023-03-01자 휴원
118,유치원,공주,교동,공립,공주교동초등학교병설유치원,,2,11,32542,충남 공주시 용당길 69-6,041-854-3927,041-854-3928,
119,유치원,공주,신관동,공립,공주신월초등학교병설유치원,,3,37,32579,충남 공주시 번영1로 193(신관동),041-881-5016,041-881-5015,
120,유치원,공주,유구읍,공립,유구초등학교병설유치원,,1,5,32506,충남 공주시 유구읍 유구초교길 12,041-841-7964,041-841-2303,
121,유치원,공주,유구읍,공립,구산초등학교병설유치원,,1,5,32508,충남 공주시 유구읍 유구마곡사로 61-1,041-841-8589,041-841-6938,
122,유치원,공주,이인면,공립,이인초등학교병설유치원,,1,1,32607,충남 공주시 이인면 은행길56,041-857-7922,041-857-9338,1면1원
123,유치원,공주,탄천면,공립,탄천초등학교병설유치원,,1,2,32609,충남 공주시 탄천면 통산로 168,041-853-4276,041-854-5161,1면1원
124,유치원,공주,계룡면,공립,계룡초등학교병설유치원,,1,7,32616,충남 공주시 계룡면 영규대사로 459,041-857-9125,041-857-5025,
125,유치원,공주,계룡면,공립,경천초등학교병설유치원,,1,5,32619,충남 공주시 계룡면 신원사로112,041-852-4030,041-855-7566,
126,유치원,공주,반포면,공립,반포초등학교병설유치원,,1,3,32622,충남 공주시 반포면 반포초교길 97,070-7606-1514,041-857-7011,
127,유치원,공주,반포면,공립,학봉초등학교병설유치원,,1,4,32626,충남 공주시 반포면 동학사 1로 141-10,042-825-4068,042-825-9030,
128,유치원,공주,의당면,공립,의당초등학교병설유치원,,1,3,32518,충남 공주시 의당면 의당초교길 49,041-854-4073,041-855-1565,
129,유치원,공주,의당면,공립,수촌초등학교병설유치원,,1,2,35311,충남 공주시 윗태실길 1-8,041-858-1015,041-855-1677,2025 학급편성 점검 대상(3명->2명)
130,유치원,공주,정안면,공립,정안초등학교병설유치원,,1,7,32512,충남 공주시 정안면 내촌리 정안중앙길79,041-858-9577,041-858-4384,
131,유치원,공주,정안면,공립,석송초등학교병설유치원,,1,4,32513,충남 공주시 정안면 마래섭들길56,041-858-0386,041-858-6666,
132,유치원,공주,우성면,공립,우성초등학교병설유치원,,1,4,32531,충남 공주시 우성면 동대리길 33,041-853-2486,041-853-2485,
133,유치원,공주,우성면,공립,귀산초등학교병설유치원,,1,7,32528,충남 공주시 우성면 귀산길 81-15,041-854-7302,041-854-7306,
134,유치원,공주,우성면,공립,상서초등학교병설유치원,휴원,0,0,32530,충남 공주시 우성면 우성길 137-37,041-853-0544,041-854-0545,2024-03-01자 휴원
135,유치원,공주,사곡면,공립,호계초등학교병설유치원,,1,3,32523,충남 공주시 사곡면 마곡사로 149-12,041-841-5883,041-841-6730,
136,유치원,공주,사곡면,공립,마곡초등학교병설유치원,,1,3,32520,충남 공주시 사곡면 운정길 29-10,041-841-8013,041-841-8012,
137,유치원,공주,신풍면,공립,신풍초등학교병설유치원,,1,3,32525,충남 공주시 신풍면 신풍길50-11,041-841-6493,041-841-1004,1면1원
138,유치원,공주,유구읍,공립,덕암초등학교병설유치원,휴원,0,0,32500,충남 공주시 유구읍 금계산로 943,041-841-6351,041-841-6442,2025-03-01자 휴원
139,유치원,공주,신관동,국립,국립공주대학교사범대학부설유치원,,6,90,32576,충남 공주시 신관동 공주대학로 56(신관캠퍼스 내),041-850-6052,041-850-0660,
140,유치원,공주,중동,사립,근화유치원,,3,52,32562,충남 공주시 성당길 9,041-856-1035,041-424-0883,
141,유치원,공주,봉황동,사립,원효유치원,휴원,0,0,32550,충남 공주시 봉황산 2길 18,041-855-0444,041-855-2551,2023-03-01자 휴원
142,유치원,공주,신관동,사립,자람터유치원,,3,37,32578,충남 공주시 신금1길 62-9,041-881-8206,041-881-8207,
143,유치원,공주,정안면,사립,한국영상대학교부설유치원,,8,144,32514,충남 공주시 정안면 화봉평정길 48,041-852-8530,041-852-8535,
144,유치원,공주,월송동,사립,행복한울타리유치원,,3,70,32593,충남 공주시 월송동현로 70(월송동),041-857-7942,041-857-7943,
145,유치원,보령,명천동,공립,명천유치원,,7,91,33481,충남 보령시 주공로 119,041-931-8862,041-931-8864,
146,유치원,보령,대천동,공립,대천초등학교병설유치원,,1,10,33439,충남 보령시 대천로 59,041-931-1403,041-934-0117,
147,유치원,보령,동대동,공립,대천동대초등학교병설유치원,,3,44,33430,충남 보령시 한내로터리길 137-12,041-931-7937,041-931-7935,
148,유치원,보령,신흑동,공립,청룡초등학교병설유치원,,1,3,33491,충남 보령시 대해로 646,041-933-3587,041-934-8368,
149,유치원,보령,오천면,공립,청룡초등학교장고분교장병설유치원,휴원,0,0,33411,충남 보령시 오천면 장고도2길 18,041-936-4982,041-932-4097,2024-03-01자 휴원
150,유치원,보령,신흑동,공립,청파초등학교병설유치원,휴원,0,0,33489,충남 보령시 대천항로 235,041-931-4734,041-934-8367,2024-03-01자 휴원
151,유치원,보령,웅천읍,공립,웅천초등학교병설유치원,휴원,0,0,33519,충남 보령시 웅천읍 충서로 1035,041-931-2984,041-931-2987,2024-03-01자 휴원
152,유치원,보령,웅천읍,공립,대창초등학교병설유치원,,1,6,33522,충남 보령시 웅천읍 방축길 90-43,041-934-6694,041-934-9825,
153,유치원,보령,주포면,공립,주포초등학교병설유치원,,1,1,33414,충남 보령시 주포면 보령읍성길 87-22,041-932-6780,041-934-5253,1면1원
154,유치원,보령,주교면,공립,관창초등학교병설유치원,,1,3,33426,충남 보령시 주교면 한술1길 17,041-932-3540,041-934-8366,
155,유치원,보령,주교면,공립,송학초등학교병설유치원,휴원,0,0,33409,충남 보령시 주교면 토정로 796-52,041-934-7095,041-934-5402,2025-03-01자 휴원
156,유치원,보령,오천면,공립,오천초등학교병설유치원,,1,1,33412,충남 보령시 오천면 충청수영로 822,041-932-9858,041-932-5783,1면1원 적용
157,유치원,보령,오천면,공립,오천초등학교삽시분교장병설유치원,,1,1,33411,충남 보령시 오천면 삽시도1길 159-34,041-932-3895,041-934-9821,도서벽지
158,유치원,보령,천북면,공립,천북초등학교병설유치원,,1,6,33402,충남 보령시 천북면 하궁길 45,041-641-9018,041-641-5432,
159,유치원,보령,청소면,공립,청소초등학교병설유치원,,1,2,33418,충남 보령시 청소면 청소큰길 225,041-932-9776,041-934-3724,1면1원
160,유치원,보령,남포면,공립,남포초등학교병설유치원,,1,7,33495,충남 보령시 남포면 읍성향교길 21,041-934-2343,041-934-5493,
161,유치원,보령,주산면,공립,주산초등학교병설유치원,,1,2,33517,충남 보령시 주산면 충서로 416,041-933-6064,041-934-5729,1면1원
162,유치원,보령,청라면,공립,청라초등학교병설유치원,,1,13,33424,충남 보령시 청라면 원모루길 205,041-933-8038,041-934-5307,
163,유치원,보령,청라면,공립,청보초등학교병설유치원,,1,4,33423,충남 보령시 청라면 대청로 759,041-931-1430,041-934-8365,
164,유치원,보령,청라면,공립,옥계초등학교병설유치원,,1,4,33421,충남 보령시 청라면 죽성로 681,041-936-1025,041-936-7174,
165,유치원,보령,남포면,공립,월전초등학교병설유치원,,1,3,33501,충남 보령시 남포면 곡촌길 11,041-934-1094,041-934-9824,
166,유치원,보령,성주면,공립,개화초등학교병설유치원,,1,1,33486,충남 보령시 성주면 성주산로 735,041-933-9511,041-934-9829,도서벽지
167,유치원,보령,성주면,공립,성주초등학교병설유치원,,1,3,33485,충남 보령시 성주면 성주초교길 8,041-934-3484,041-934-5731,
168,유치원,보령,미산면,공립,미산초등학교병설유치원,,1,8,33512,충남 보령시 미산면 판미로 1462-7,041-933-4178,041-934-8031,
169,유치원,보령,오천면,공립,청파초등학교외연도분교장병설유치원,,1,1,33411,충남 보령시 오천면 외연도1길 134,041-936-6780,041-934-5003,도서벽지
170,유치원,보령,오천면,공립,광명초등학교병설유치원,휴원,0,0,33411,충남 보령시 오천면 원산도3길 151-11,041-936-6109,041-936-1004,2024-03-01자 휴원
171,유치원,보령,주교면,공립,보령창미유치원,,6,63,33447,충남 보령시 주교면 토정로 218,041-931-9534,041-931-9536,
172,유치원,보령,동대동,사립,꿈바위유치원,,3,38,33430,충남 보령시 한내여중길 66,041-936-1968,041-936-1911,
173,유치원,보령,죽정동,사립,상아유치원,,9,174,33443,충남 보령시 봉황로 91,041-936-2226,041-936-3227,
174,유치원,보령,죽정동,사립,제일유치원,,10,187,33441,충남 보령시 대고로 20,041-934-1255,041-934-9266,
175,유치원,아산,모종동,공립,온양동신유치원,,6,61,31526,충남 아산시 번영로 234번길52,041-548-3330,041-548-3381,
176,유치원,아산,읍내동,공립,온양초등학교병설유치원,,1,5,31562,충남 아산시 온주길 26번길 10,041-549-7036,041-545-4823,
177,유치원,아산,온천동,공립,온양온천초등학교병설유치원,,3,27,31520,충남 아산시 청운로 90,041-544-9822,041-544-9826,
178,유치원,아산,초사동,공립,온양초사초등학교병설유치원,휴원,0,0,31559,충남 아산시 초사길 122,041-532-2139,041-549-6416,2025-03-01자 휴원
179,유치원,아산,실옥동,공립,온양천도초등학교병설유치원,,4,28,31504,충남 아산시 실옥로 45,041-544-4860,041-544-4861,
180,유치원,아산,모종동,공립,신리초등학교병설유치원,,4,42,31517,충남 아산시 모종로 73-13,041-425-2095,041-543-2091,
181,유치원,아산,배미동,공립,신광초등학교병설유치원,,2,8,32530,충남 아산시 서부북로 993,041-534-7217,041-534-6199,
182,유치원,아산,온천동,공립,온양중앙초등학교병설유치원,,1,9,31570,충남 아산시 중앙로 17,041-546-5909,041-549-2961,
183,유치원,아산,용화동,공립,용화초등학교병설유치원,,1,5,31569,충남 아산시 시민로 258번길 3-8,041-549-7490,041-549-7495,
184,유치원,아산,실옥동,공립,온양신정초등학교병설유치원,,2,9,31502,충남 아산시 온천대로 1333번길 29,041-532-7920,041-532-7915,
185,유치원,아산,용화동,공립,아산초등학교병설유치원,,4,42,31580,충남 아산시 남부로 266,041-549-6294,041-549-6295,
186,유치원,아산,송악면,공립,송남초등학교병설유치원,,1,8,31557,충남 아산시 송악면 송악로 802,041-543-9704,041-543-6181,
187,유치원,아산,송악면,공립,거산초등학교병설유치원,,1,4,31584,충남 아산시 송악면 외암로 460,041-542-9155,041-542-9154,
188,유치원,아산,배방읍,공립,금곡초등학교병설유치원,,3,17,31581,충남 아산시 배방읍 고불로 563-4,041-549-9016,041-549-9017,
189,유치원,아산,배방읍,공립,동방초등학교병설유치원,휴원,0,0,31474,충남 아산시 배방읍 휴대안길 10,041-548-3855,041-548-3853,2023-03-01자 휴원
190,유치원,아산,배방읍,공립,연화초등학교병설유치원,,3,21,31467,충남 아산시 배방읍 연화로 43,041-549-8565,041-549-8559,
191,유치원,아산,배방읍,공립,아산용연초등학교병설유치원,,4,46,31463,충남 아산시 배방읍 용연동길 25,041-541-7106,041-541-7108,
